hazard_probability,attributable_fraction,preferred_action,Stay,Investigate,Relocate
0.15000000000000002,0.4,Stay,0.0,-0.25,-161.27090223900342
0.15000000000000002,0.45,Stay,0.0,-0.25,-160.98973406796114
0.15000000000000002,0.5,Stay,0.0,-0.25,-160.70856589691886
0.15000000000000002,0.55,Stay,0.0,-0.25,-160.4273977258766
0.15000000000000002,0.6000000000000001,Stay,0.0,-0.25,-160.14622955483432
0.15000000000000002,0.65,Stay,0.0,-0.25,-159.86506138379204
0.15000000000000002,0.7000000000000001,Stay,0.0,-0.25,-159.58389321274979
0.15000000000000002,0.75,Stay,0.0,-0.25,-159.3027250417075
0.15000000000000002,0.8,Stay,0.0,-0.25,-159.02155687066522
0.15000000000000002,0.8500000000000001,Stay,0.0,-0.25,-158.74038869962297
0.15000000000000002,0.9,Stay,0.0,-0.25,-158.4592205285807
0.15000000000000002,0.9500000000000001,Stay,0.0,-0.25,-158.1780523575384
0.15000000000000002,1.0,Stay,0.0,-0.25,-157.89688418649615
0.2,0.0,Stay,0.0,-0.25,-163.52024760734162
0.2,0.05,Stay,0.0,-0.25,-163.14535671261856
0.2,0.1,Stay,0.0,-0.25,-162.77046581789554
0.2,0.15000000000000002,Stay,0.0,-0.25,-162.39557492317252
0.2,0.2,Stay,0.0,-0.25,-162.02068402844947
0.2,0.25,Stay,0.0,-0.25,-161.64579313372644
0.2,0.30000000000000004,Stay,0.0,-0.25,-161.27090223900342
0.2,0.35000000000000003,Stay,0.0,-0.25,-160.8960113442804
0.2,0.4,Stay,0.0,-0.25,-160.52112044955737
0.2,0.45,Stay,0.0,-0.25,-160.14622955483435
0.2,0.5,Stay,0.0,-0.25,-159.7713386601113
0.2,0.55,Stay,0.0,-0.25,-159.39644776538827
0.2,0.6000000000000001,Stay,0.0,-0.25,-159.02155687066525
0.2,0.65,Stay,0.0,-0.25,-158.6466659759422
0.2,0.7000000000000001,Stay,0.0,-0.25,-158.27177508121918
0.2,0.75,Stay,0.0,-0.25,-157.89688418649615
0.2,0.8,Stay,0.0,-0.25,-157.52199329177313
0.2,0.8500000000000001,Stay,0.0,-0.25,-157.1471023970501
0.2,0.9,Stay,0.0,-0.25,-156.77221150232705
0.2,0.9500000000000001,Stay,0.0,-0.25,-156.39732060760403
0.2,1.0,Stay,0.0,-0.25,-156.022429712881
0.25,0.0,Stay,0.0,-0.25,-163.5202476073416
0.25,0.05,Stay,0.0,-0.25,-163.0516339889378
0.25,0.1,Stay,0.0,-0.25,-162.583020370534
0.25,0.15000000000000002,Stay,0.0,-0.25,-162.1144067521302
0.25,0.2,Stay,0.0,-0.25,-161.64579313372644
0.25,0.25,Stay,0.0,-0.25,-161.17717951532265
0.25,0.30000000000000004,Stay,0.0,-0.25,-160.70856589691886
0.25,0.35000000000000003,Stay,0.0,-0.25,-160.23995227851506
0.25,0.4,Stay,0.0,-0.25,-159.77133866011127
0.25,0.45,Stay,0.0,-0.25,-159.3027250417075
0.25,0.5,Stay,0.0,-0.25,-158.8341114233037
0.25,0.55,Stay,0.0,-0.25,-158.36549780489992
0.25,0.6000000000000001,Stay,0.0,-0.25,-157.89688418649612
0.25,0.65,Stay,0.0,-0.25,-157.42827056809233
0.25,0.7000000000000001,Stay,0.0,-0.25,-156.95965694968856
0.25,0.75,Stay,0.0,-0.25,-156.49104333128477
0.25,0.8,Stay,0.0,-0.25,-156.02242971288098
0.25,0.8500000000000001,Stay,0.0,-0.25,-155.55381609447718
0.25,0.9,Stay,0.0,-0.25,-155.0852024760734
0.25,0.9500000000000001,Stay,0.0,-0.25,-154.61658885766963
0.25,1.0,Stay,0.0,-0.25,-154.14797523926583
0.30000000000000004,0.0,Stay,0.0,-0.25,-163.5202476073416
0.30000000000000004,0.05,Stay,0.0,-0.25,-162.95791126525705
0.30000000000000004,0.1,Stay,0.0,-0.25,-162.3955749231725
0.30000000000000004,0.15000000000000002,Stay,0.0,-0.25,-161.83323858108795
0.30000000000000004,0.2,Stay,0.0,-0.25,-161.2709022390034
0.30000000000000004,0.25,Stay,0.0,-0.25,-160.70856589691886
0.30000000000000004,0.30000000000000004,Stay,0.0,-0.25,-160.14622955483432
0.30000000000000004,0.35000000000000003,Stay,0.0,-0.25,-159.58389321274979
0.30000000000000004,0.4,Stay,0.0,-0.25,-159.02155687066522
0.30000000000000004,0.45,Stay,0.0,-0.25,-158.4592205285807
0.30000000000000004,0.5,Stay,0.0,-0.25,-157.89688418649615
0.30000000000000004,0.55,Stay,0.0,-0.25,-157.3345478444116
0.30000000000000004,0.6000000000000001,Stay,0.0,-0.25,-156.77221150232702
0.30000000000000004,0.65,Stay,0.0,-0.25,-156.2098751602425
0.30000000000000004,0.7000000000000001,Stay,0.0,-0.25,-155.64753881815795
0.30000000000000004,0.75,Stay,0.0,-0.25,-155.08520247607342
0.30000000000000004,0.8,Stay,0.0,-0.25,-154.52286613398888
0.30000000000000004,0.8500000000000001,Stay,0.0,-0.25,-153.96052979190432
0.30000000000000004,0.9,Stay,0.0,-0.25,-153.39819344981976
0.30000000000000004,0.9500000000000001,Stay,0.0,-0.25,-152.83585710773522
0.30000000000000004,1.0,Stay,0.0,-0.25,-152.2735207656507
0.35000000000000003,0.0,Stay,0.0,-0.25,-163.5202476073416
0.35000000000000003,0.05,Stay,0.0,-0.25,-162.86418854157628
0.35000000000000003,0.1,Stay,0.0,-0.25,-162.20812947581098
0.35000000000000003,0.15000000000000002,Stay,0.0,-0.25,-161.55207041004567
0.35000000000000003,0.2,Stay,0.0,-0.25,-160.89601134428037
0.35000000000000003,0.25,Stay,0.0,-0.25,-160.23995227851506
0.35000000000000003,0.30000000000000004,Stay,0.0,-0.25,-159.58389321274976
0.35000000000000003,0.35000000000000003,Stay,0.0,-0.25,-158.92783414698445
0.35000000000000003,0.4,Stay,0.0,-0.25,-158.27177508121918
0.35000000000000003,0.45,Stay,0.0,-0.25,-157.61571601545387
0.35000000000000003,0.5,Stay,0.0,-0.25,-156.95965694968856
0.35000000000000003,0.55,Stay,0.0,-0.25,-156.30359788392326
0.35000000000000003,0.6000000000000001,Stay,0.0,-0.25,-155.64753881815795
0.35000000000000003,0.65,Stay,0.0,-0.25,-154.99147975239265
0.35000000000000003,0.7000000000000001,Stay,0.0,-0.25,-154.33542068662734
0.35000000000000003,0.75,Stay,0.0,-0.25,-153.67936162086204
0.35000000000000003,0.8,Stay,0.0,-0.25,-153.02330255509673
0.35000000000000003,0.8500000000000001,Stay,0.0,-0.25,-152.36724348933143
0.35000000000000003,0.9,Stay,0.0,-0.25,-151.71118442356612
0.35000000000000003,0.9500000000000001,Stay,0.0,-0.25,-151.05512535780082
0.35000000000000003,1.0,Stay,0.0,-0.25,-150.3990662920355
0.4,0.0,Stay,0.0,-0.25,-163.5202476073416
0.4,0.05,Stay,0.0,-0.25,-162.7704658178955
0.4,0.1,Stay,0.0,-0.25,-162.02068402844947
0.4,0.15000000000000002,Stay,0.0,-0.25,-161.27090223900342
0.4,0.2,Stay,0.0,-0.25,-160.52112044955734
0.4,0.25,Stay,0.0,-0.25,-159.77133866011127
0.4,0.30000000000000004,Stay,0.0,-0.25,-159.02155687066522
0.4,0.35000000000000003,Stay,0.0,-0.25,-158.27177508121918
0.4,0.4,Stay,0.0,-0.25,-157.5219932917731
0.4,0.45,Stay,0.0,-0.25,-156.77221150232705
0.4,0.5,Stay,0.0,-0.25,-156.02242971288098
0.4,0.55,Stay,0.0,-0.25,-155.27264792343493
0.4,0.6000000000000001,Stay,0.0,-0.25,-154.52286613398886
0.4,0.65,Stay,0.0,-0.25,-153.7730843445428
0.4,0.7000000000000001,Stay,0.0,-0.25,-153.02330255509673
0.4,0.75,Stay,0.0,-0.25,-152.2735207656507
0.4,0.8,Stay,0.0,-0.25,-151.52373897620464
0.4,0.8500000000000001,Stay,0.0,-0.25,-150.77395718675857
0.4,0.9,Stay,0.0,-0.25,-150.0241753973125
0.4,0.9500000000000001,Stay,0.0,-0.25,-149.27439360786644
0.4,1.0,Stay,0.0,-0.25,-148.5246118184204
0.45,0.0,Stay,0.0,-0.25,-163.5202476073416
0.45,0.05,Stay,0.0,-0.25,-162.67674309421477
0.45,0.1,Stay,0.0,-0.25,-161.83323858108798
0.45,0.15000000000000002,Stay,0.0,-0.25,-160.98973406796114
0.45,0.2,Stay,0.0,-0.25,-160.14622955483432
0.45,0.25,Stay,0.0,-0.25,-159.3027250417075
0.45,0.30000000000000004,Stay,0.0,-0.25,-158.4592205285807
0.45,0.35000000000000003,Stay,0.0,-0.25,-157.61571601545387
0.45,0.4,Stay,0.0,-0.25,-156.77221150232705
0.45,0.45,Stay,0.0,-0.25,-155.92870698920024
0.45,0.5,Stay,0.0,-0.25,-155.08520247607345
0.45,0.55,Stay,0.0,-0.25,-154.2416979629466
0.45,0.6000000000000001,Stay,0.0,-0.25,-153.3981934498198
0.45,0.65,Stay,0.0,-0.25,-152.55468893669297
0.45,0.7000000000000001,Stay,0.0,-0.25,-151.71118442356615
0.45,0.75,Stay,0.0,-0.25,-150.86767991043934
0.45,0.8,Stay,0.0,-0.25,-150.02417539731252
0.45,0.8500000000000001,Stay,0.0,-0.25,-149.1806708841857
0.45,0.9,Stay,0.0,-0.25,-148.33716637105888
0.45,0.9500000000000001,Stay,0.0,-0.25,-147.49366185793207
0.45,1.0,Stay,0.0,-0.25,-146.65015734480525
0.5,0.0,Stay,0.0,-0.25,-163.5202476073416
0.5,0.05,Stay,0.0,-0.25,-162.58302037053403
0.5,0.1,Stay,0.0,-0.25,-161.64579313372644
0.5,0.15000000000000002,Stay,0.0,-0.25,-160.70856589691886
0.5,0.2,Stay,0.0,-0.25,-159.77133866011127
0.5,0.25,Stay,0.0,-0.25,-158.8341114233037
0.5,0.30000000000000004,Stay,0.0,-0.25,-157.89688418649615
0.5,0.35000000000000003,Stay,0.0,-0.25,-156.95965694968856
0.5,0.4,Stay,0.0,-0.25,-156.02242971288098
0.5,0.45,Stay,0.0,-0.25,-155.08520247607342
0.5,0.5,Stay,0.0,-0.25,-154.14797523926586
0.5,0.55,Stay,0.0,-0.25,-153.21074800245827
0.5,0.6000000000000001,Stay,0.0,-0.25,-152.2735207656507
0.5,0.65,Stay,0.0,-0.25,-151.3362935288431
0.5,0.7000000000000001,Stay,0.0,-0.25,-150.39906629203554
0.5,0.75,Stay,0.0,-0.25,-149.46183905522798
0.5,0.8,Stay,0.0,-0.25,-148.5246118184204
0.5,0.8500000000000001,Stay,0.0,-0.25,-147.5873845816128
0.5,0.9,Stay,0.0,-0.25,-146.65015734480522
0.5,0.9500000000000001,Stay,0.0,-0.25,-145.71293010799766
0.5,1.0,Stay,0.0,-0.25,-144.7757028711901
0.55,0.0,Stay,0.0,-0.25,-163.5202476073416
0.55,0.05,Stay,0.0,-0.25,-162.48929764685326
0.55,0.1,Stay,0.0,-0.25,-161.45834768636493
0.55,0.15000000000000002,Stay,0.0,-0.25,-160.4273977258766
0.55,0.2,Stay,0.0,-0.25,-159.39644776538825
0.55,0.25,Stay,0.0,-0.25,-158.36549780489992
0.55,0.30000000000000004,Stay,0.0,-0.25,-157.3345478444116
0.55,0.35000000000000003,Stay,0.0,-0.25,-156.30359788392326
0.55,0.4,Stay,0.0,-0.25,-155.27264792343493
0.55,0.45,Stay,0.0,-0.25,-154.2416979629466
0.55,0.5,Stay,0.0,-0.25,-153.21074800245827
0.55,0.55,Stay,0.0,-0.25,-152.17979804196995
0.55,0.6000000000000001,Stay,0.0,-0.25,-151.14884808148162
0.55,0.65,Stay,0.0,-0.25,-150.1178981209933
0.55,0.7000000000000001,Stay,0.0,-0.25,-149.08694816050496
0.55,0.75,Stay,0.0,-0.25,-148.0559982000166
0.55,0.8,Stay,0.0,-0.25,-147.02504823952827
0.55,0.8500000000000001,Stay,0.0,-0.25,-145.99409827903992
0.55,0.9,Stay,0.0,-0.25,-144.9631483185516
0.55,0.9500000000000001,Stay,0.0,-0.25,-143.93219835806326
0.55,1.0,Stay,0.0,-0.25,-142.90124839757493
0.6000000000000001,0.0,Stay,0.0,-0.25,-163.5202476073416
0.6000000000000001,0.05,Stay,0.0,-0.25,-162.3955749231725
0.6000000000000001,0.1,Stay,0.0,-0.25,-161.27090223900342
0.6000000000000001,0.15000000000000002,Stay,0.0,-0.25,-160.14622955483435
0.6000000000000001,0.2,Stay,0.0,-0.25,-159.02155687066522
0.6000000000000001,0.25,Stay,0.0,-0.25,-157.89688418649615
0.6000000000000001,0.30000000000000004,Stay,0.0,-0.25,-156.77221150232705
0.6000000000000001,0.35000000000000003,Stay,0.0,-0.25,-155.64753881815795
0.6000000000000001,0.4,Stay,0.0,-0.25,-154.52286613398888
0.6000000000000001,0.45,Stay,0.0,-0.25,-153.3981934498198
0.6000000000000001,0.5,Stay,0.0,-0.25,-152.2735207656507
0.6000000000000001,0.55,Stay,0.0,-0.25,-151.14884808148162
0.6000000000000001,0.6000000000000001,Stay,0.0,-0.25,-150.0241753973125
0.6000000000000001,0.65,Stay,0.0,-0.25,-148.89950271314342
0.6000000000000001,0.7000000000000001,Stay,0.0,-0.25,-147.77483002897435
0.6000000000000001,0.75,Stay,0.0,-0.25,-146.65015734480525
0.6000000000000001,0.8,Stay,0.0,-0.25,-145.52548466063615
0.6000000000000001,0.8500000000000001,Stay,0.0,-0.25,-144.40081197646705
0.6000000000000001,0.9,Stay,0.0,-0.25,-143.27613929229796
0.6000000000000001,0.9500000000000001,Stay,0.0,-0.25,-142.15146660812889
0.6000000000000001,1.0,Stay,0.0,-0.25,-141.02679392395981
0.65,0.0,Stay,0.0,-0.25,-163.5202476073416
0.65,0.05,Stay,0.0,-0.25,-162.30185219949175
0.65,0.1,Stay,0.0,-0.25,-161.0834567916419
0.65,0.15000000000000002,Stay,0.0,-0.25,-159.86506138379204
0.65,0.2,Stay,0.0,-0.25,-158.6466659759422
0.65,0.25,Stay,0.0,-0.25,-157.42827056809236
0.65,0.30000000000000004,Stay,0.0,-0.25,-156.2098751602425
0.65,0.35000000000000003,Stay,0.0,-0.25,-154.99147975239265
0.65,0.4,Stay,0.0,-0.25,-153.7730843445428
0.65,0.45,Stay,0.0,-0.25,-152.55468893669297
0.65,0.5,Stay,0.0,-0.25,-151.33629352884313
0.65,0.55,Stay,0.0,-0.25,-150.11789812099326
0.65,0.6000000000000001,Stay,0.0,-0.25,-148.89950271314342
0.65,0.65,Stay,0.0,-0.25,-147.68110730529358
0.65,0.7000000000000001,Stay,0.0,-0.25,-146.46271189744374
0.65,0.75,Stay,0.0,-0.25,-145.24431648959387
0.65,0.8,Stay,0.0,-0.25,-144.02592108174403
0.65,0.8500000000000001,Stay,0.0,-0.25,-142.80752567389416
0.65,0.9,Stay,0.0,-0.25,-141.58913026604432
0.65,0.9500000000000001,Stay,0.0,-0.25,-140.37073485819448
0.65,1.0,Stay,0.0,-0.25,-139.15233945034464
0.7000000000000001,0.0,Stay,0.0,-0.25,-163.5202476073416
0.7000000000000001,0.05,Stay,0.0,-0.25,-162.20812947581098
0.7000000000000001,0.1,Stay,0.0,-0.25,-160.8960113442804
0.7000000000000001,0.15000000000000002,Stay,0.0,-0.25,-159.58389321274979
0.7000000000000001,0.2,Stay,0.0,-0.25,-158.27177508121918
0.7000000000000001,0.25,Stay,0.0,-0.25,-156.95965694968856
0.7000000000000001,0.30000000000000004,Stay,0.0,-0.25,-155.64753881815795
0.7000000000000001,0.35000000000000003,Stay,0.0,-0.25,-154.33542068662734
0.7000000000000001,0.4,Stay,0.0,-0.25,-153.02330255509676
0.7000000000000001,0.45,Stay,0.0,-0.25,-151.71118442356615
0.7000000000000001,0.5,Stay,0.0,-0.25,-150.39906629203554
0.7000000000000001,0.55,Stay,0.0,-0.25,-149.08694816050493
0.7000000000000001,0.6000000000000001,Stay,0.0,-0.25,-147.77483002897432
0.7000000000000001,0.65,Stay,0.0,-0.25,-146.4627118974437
0.7000000000000001,0.7000000000000001,Stay,0.0,-0.25,-145.15059376591313
0.7000000000000001,0.75,Stay,0.0,-0.25,-143.83847563438252
0.7000000000000001,0.8,Stay,0.0,-0.25,-142.5263575028519
0.7000000000000001,0.8500000000000001,Stay,0.0,-0.25,-141.2142393713213
0.7000000000000001,0.9,Stay,0.0,-0.25,-139.9021212397907
0.7000000000000001,0.9500000000000001,Stay,0.0,-0.25,-138.5900031082601
0.7000000000000001,1.0,Stay,0.0,-0.25,-137.2778849767295
0.75,0.0,Stay,0.0,-0.25,-163.5202476073416
0.75,0.05,Stay,0.0,-0.25,-162.11440675213024
0.75,0.1,Stay,0.0,-0.25,-160.70856589691888
0.75,0.15000000000000002,Stay,0.0,-0.25,-159.3027250417075
0.75,0.2,Stay,0.0,-0.25,-157.89688418649612
0.75,0.25,Stay,0.0,-0.25,-156.49104333128477
0.75,0.30000000000000004,Stay,0.0,-0.25,-155.08520247607342
0.75,0.35000000000000003,Stay,0.0,-0.25,-153.67936162086207
0.75,0.4,Stay,0.0,-0.25,-152.2735207656507
0.75,0.45,Stay,0.0,-0.25,-150.86767991043934
0.75,0.5,Stay,0.0,-0.25,-149.46183905522798
0.75,0.55,Stay,0.0,-0.25,-148.0559982000166
0.75,0.6000000000000001,Stay,0.0,-0.25,-146.65015734480525
0.75,0.65,Stay,0.0,-0.25,-145.24431648959387
0.75,0.7000000000000001,Stay,0.0,-0.25,-143.83847563438252
0.75,0.75,Stay,0.0,-0.25,-142.43263477917117
0.75,0.8,Stay,0.0,-0.25,-141.02679392395981
0.75,0.8500000000000001,Stay,0.0,-0.25,-139.62095306874843
0.75,0.9,Stay,0.0,-0.25,-138.21511221353705
0.75,0.9500000000000001,Stay,0.0,-0.25,-136.8092713583257
0.75,1.0,Stay,0.0,-0.25,-135.40343050311435
0.8,0.0,Stay,0.0,-0.25,-163.5202476073416
0.8,0.05,Stay,0.0,-0.25,-162.02068402844947
0.8,0.1,Stay,0.0,-0.25,-160.52112044955734
0.8,0.15000000000000002,Stay,0.0,-0.25,-159.02155687066525
0.8,0.2,Stay,0.0,-0.25,-157.5219932917731
0.8,0.25,Stay,0.0,-0.25,-156.02242971288098
0.8,0.30000000000000004,Stay,0.0,-0.25,-154.52286613398886
0.8,0.35000000000000003,Stay,0.0,-0.25,-153.02330255509676
0.8,0.4,Stay,0.0,-0.25,-151.52373897620464
0.8,0.45,Stay,0.0,-0.25,-150.02417539731252
0.8,0.5,Stay,0.0,-0.25,-148.5246118184204
0.8,0.55,Stay,0.0,-0.25,-147.02504823952827
0.8,0.6000000000000001,Stay,0.0,-0.25,-145.52548466063615
0.8,0.65,Stay,0.0,-0.25,-144.02592108174403
0.8,0.7000000000000001,Stay,0.0,-0.25,-142.5263575028519
0.8,0.75,Stay,0.0,-0.25,-141.0267939239598
0.8,0.8,Stay,0.0,-0.25,-139.5272303450677
0.8,0.8500000000000001,Stay,0.0,-0.25,-138.02766676617554
0.8,0.9,Stay,0.0,-0.25,-136.52810318728342
0.8,0.9500000000000001,Stay,0.0,-0.25,-135.0285396083913
0.8,1.0,Stay,0.0,-0.25,-133.5289760294992
0.8500000000000001,0.0,Stay,0.0,-0.25,-163.52024760734156
0.8500000000000001,0.05,Stay,0.0,-0.25,-161.92696130476872
0.8500000000000001,0.1,Stay,0.0,-0.25,-160.33367500219583
0.8500000000000001,0.15000000000000002,Stay,0.0,-0.25,-158.74038869962294
0.8500000000000001,0.2,Stay,0.0,-0.25,-157.14710239705005
0.8500000000000001,0.25,Stay,0.0,-0.25,-155.5538160944772
0.8500000000000001,0.30000000000000004,Stay,0.0,-0.25,-153.96052979190432
0.8500000000000001,0.35000000000000003,Stay,0.0,-0.25,-152.36724348933143
0.8500000000000001,0.4,Stay,0.0,-0.25,-150.7739571867586
0.8500000000000001,0.45,Stay,0.0,-0.25,-149.1806708841857
0.8500000000000001,0.5,Stay,0.0,-0.25,-147.5873845816128
0.8500000000000001,0.55,Stay,0.0,-0.25,-145.99409827903992
0.8500000000000001,0.6000000000000001,Stay,0.0,-0.25,-144.40081197646705
0.8500000000000001,0.65,Stay,0.0,-0.25,-142.8075256738942
0.8500000000000001,0.7000000000000001,Stay,0.0,-0.25,-141.2142393713213
0.8500000000000001,0.75,Stay,0.0,-0.25,-139.62095306874843
0.8500000000000001,0.8,Stay,0.0,-0.25,-138.02766676617557
0.8500000000000001,0.8500000000000001,Stay,0.0,-0.25,-136.43438046360268
0.8500000000000001,0.9,Stay,0.0,-0.25,-134.8410941610298
0.8500000000000001,0.9500000000000001,Stay,0.0,-0.25,-133.2478078584569
0.8500000000000001,1.0,Stay,0.0,-0.25,-131.65452155588406
0.9,0.0,Stay,0.0,-0.25,-163.5202476073416
0.9,0.05,Stay,0.0,-0.25,-161.83323858108798
0.9,0.1,Stay,0.0,-0.25,-160.14622955483435
0.9,0.15000000000000002,Stay,0.0,-0.25,-158.45922052858072
0.9,0.2,Stay,0.0,-0.25,-156.77221150232705
0.9,0.25,Stay,0.0,-0.25,-155.08520247607342
0.9,0.30000000000000004,Stay,0.0,-0.25,-153.3981934498198
0.9,0.35000000000000003,Stay,0.0,-0.25,-151.71118442356615
0.9,0.4,Stay,0.0,-0.25,-150.02417539731252
0.9,0.45,Stay,0.0,-0.25,-148.33716637105888
0.9,0.5,Stay,0.0,-0.25,-146.65015734480528
0.9,0.55,Stay,0.0,-0.25,-144.96314831855162
0.9,0.6000000000000001,Stay,0.0,-0.25,-143.27613929229798
0.9,0.65,Stay,0.0,-0.25,-141.58913026604435
0.9,0.7000000000000001,Stay,0.0,-0.25,-139.90212123979072
0.9,0.75,Stay,0.0,-0.25,-138.21511221353708
0.9,0.8,Stay,0.0,-0.25,-136.52810318728345
0.9,0.8500000000000001,Stay,0.0,-0.25,-134.8410941610298
0.9,0.9,Stay,0.0,-0.25,-133.15408513477615
0.9,0.9500000000000001,Stay,0.0,-0.25,-131.46707610852252
0.9,1.0,Stay,0.0,-0.25,-129.78006708226889
0.9500000000000001,0.0,Stay,0.0,-0.25,-163.5202476073416
0.9500000000000001,0.05,Stay,0.0,-0.25,-161.7395158574072
0.9500000000000001,0.1,Stay,0.0,-0.25,-159.9587841074728
0.9500000000000001,0.15000000000000002,Stay,0.0,-0.25,-158.17805235753843
0.9500000000000001,0.2,Stay,0.0,-0.25,-156.397320607604
0.9500000000000001,0.25,Stay,0.0,-0.25,-154.61658885766963
0.9500000000000001,0.30000000000000004,Stay,0.0,-0.25,-152.83585710773522
0.9500000000000001,0.35000000000000003,Stay,0.0,-0.25,-151.05512535780085
0.9500000000000001,0.4,Stay,0.0,-0.25,-149.27439360786644
0.9500000000000001,0.45,Stay,0.0,-0.25,-147.49366185793207
0.9500000000000001,0.5,Stay,0.0,-0.25,-145.7129301079977
0.9500000000000001,0.55,Stay,0.0,-0.25,-143.93219835806326
0.9500000000000001,0.6000000000000001,Stay,0.0,-0.25,-142.15146660812889
0.9500000000000001,0.65,Stay,0.0,-0.25,-140.37073485819448
0.9500000000000001,0.7000000000000001,Stay,0.0,-0.25,-138.5900031082601
0.9500000000000001,0.75,Stay,0.0,-0.25,-136.8092713583257
0.9500000000000001,0.8,Stay,0.0,-0.25,-135.02853960839133
0.9500000000000001,0.8500000000000001,Stay,0.0,-0.25,-133.2478078584569
