model,season,games,auc,brier,log_loss
History only,2024,271,0.6472003499562554,0.2335183672854243,0.6586519267996379
History only,2025,271,0.6513972602739727,0.2301241509017565,0.6511091154280559
History + Out reports,2024,271,0.662182852143482,0.23167928026848394,0.6545878453252686
History + Out reports,2025,271,0.6606027397260275,0.22931393905415307,0.6494339132386219
