team,mean_out_per_game,mean_reserve_per_game
IND,2.552573529411765,9.714338235294118
TEN,2.5341911764705882,8.819117647058823
SF,2.473897058823529,11.09080882352941
NO,2.4621323529411763,9.854044117647058
NYG,2.432352941176471,11.516176470588235
DET,2.3522058823529415,10.418014705882353
TB,2.3080882352941177,7.588970588235294
WAS,2.288970588235294,10.503676470588236
HOU,2.2213235294117646,10.184926470588234
ARI,2.1588235294117646,10.204411764705881
PHI,2.0852941176470585,7.638235294117647
NYJ,2.00625,10.60625
CIN,1.9661764705882352,7.343014705882354
PIT,1.950735294117647,8.118382352941177
CLE,1.924264705882353,10.469485294117646
MIN,1.909166666666667,7.8066176470588236
ATL,1.8636029411764707,7.869485294117647
DEN,1.8411764705882354,9.83235294117647
DAL,1.8279411764705884,9.888235294117646
CAR,1.8253676470588236,9.593014705882354
SEA,1.738235294117647,9.954779411764706
GB,1.6974264705882351,7.043382352941177
JAX,1.6512254901960783,8.79779411764706
CHI,1.6411764705882352,7.836764705882354
BUF,1.6216911764705884,6.280514705882353
LAC,1.5716911764705883,9.579044117647058
KC,1.5496323529411764,7.649264705882354
BAL,1.5441176470588236,11.181985294117647
LV,1.4466911764705883,7.721323529411765
NE,1.3992647058823529,10.368014705882354
MIA,1.231985294117647,9.523529411764706
LA,1.014362745098039,7.115441176470588
